[194, 181] 00B5 ---> [[206, 188]] 03BC 
[197, 144] 0150 ---> [[197, 145]] 0151 
[197, 146] 0152 ---> [[197, 147]] 0153 
[197, 148] 0154 ---> [[197, 149]] 0155 
[197, 150] 0156 ---> [[197, 151]] 0157 
[197, 152] 0158 ---> [[197, 153]] 0159 
[197, 154] 015A ---> [[197, 155]] 015B 
[197, 156] 015C ---> [[197, 157]] 015D 
[197, 158] 015E ---> [[197, 159]] 015F 
[197, 160] 0160 ---> [[197, 161]] 0161 
[197, 162] 0162 ---> [[197, 163]] 0163 
[197, 164] 0164 ---> [[197, 165]] 0165 
[197, 166] 0166 ---> [[197, 167]] 0167 
[197, 168] 0168 ---> [[197, 169]] 0169 
[197, 170] 016A ---> [[197, 171]] 016B 
[197, 172] 016C ---> [[197, 173]] 016D 
[197, 174] 016E ---> [[197, 175]] 016F 
[197, 176] 0170 ---> [[197, 177]] 0171 
[197, 178] 0172 ---> [[197, 179]] 0173 
[197, 180] 0174 ---> [[197, 181]] 0175 
[197, 182] 0176 ---> [[197, 183]] 0177 
[197, 184] 0178 ---> [[195, 191]] 00FF 
[197, 185] 0179 ---> [[197, 186]] 017A 
[197, 187] 017B ---> [[197, 188]] 017C 
[197, 189] 017D ---> [[197, 190]] 017E 
[197, 191] 017F ---> [[115]] 0073 
[198, 129] 0181 ---> [[201, 147]] 0253 
[198, 130] 0182 ---> [[198, 131]] 0183 
[198, 132] 0184 ---> [[198, 133]] 0185 
[198, 134] 0186 ---> [[201, 148]] 0254 
[198, 135] 0187 ---> [[198, 136]] 0188 
[198, 137] 0189 ---> [[201, 150]] 0256 
[198, 138] 018A ---> [[201, 151]] 0257 
[198, 139] 018B ---> [[198, 140]] 018C 
[198, 142] 018E ---> [[199, 157]] 01DD 
[198, 143] 018F ---> [[201, 153]] 0259 
[198, 144] 0190 ---> [[201, 155]] 025B 
[198, 145] 0191 ---> [[198, 146]] 0192 
[198, 147] 0193 ---> [[201, 160]] 0260 
[198, 148] 0194 ---> [[201, 163]] 0263 
[198, 150] 0196 ---> [[201, 169]] 0269 
[198, 151] 0197 ---> [[201, 168]] 0268 
[198, 152] 0198 ---> [[198, 153]] 0199 
[198, 156] 019C ---> [[201, 175]] 026F 
[198, 157] 019D ---> [[201, 178]] 0272 
[198, 159] 019F ---> [[201, 181]] 0275 
[198, 160] 01A0 ---> [[198, 161]] 01A1 
[198, 162] 01A2 ---> [[198, 163]] 01A3 
[198, 164] 01A4 ---> [[198, 165]] 01A5 
[198, 166] 01A6 ---> [[202, 128]] 0280 
[198, 167] 01A7 ---> [[198, 168]] 01A8 
[198, 169] 01A9 ---> [[202, 131]] 0283 
[198, 172] 01AC ---> [[198, 173]] 01AD 
[198, 174] 01AE ---> [[202, 136]] 0288 
[198, 175] 01AF ---> [[198, 176]] 01B0 
[198, 177] 01B1 ---> [[202, 138]] 028A 
[198, 178] 01B2 ---> [[202, 139]] 028B 
[198, 179] 01B3 ---> [[198, 180]] 01B4 
[198, 181] 01B5 ---> [[198, 182]] 01B6 
[198, 183] 01B7 ---> [[202, 146]] 0292 
[198, 184] 01B8 ---> [[198, 185]] 01B9 
[198, 188] 01BC ---> [[198, 189]] 01BD 
[199, 132] 01C4 ---> [[199, 134]] 01C6 
[199, 133] 01C5 ---> [[199, 134]] 01C6 
[199, 135] 01C7 ---> [[199, 137]] 01C9 
[199, 136] 01C8 ---> [[199, 137]] 01C9 
[199, 138] 01CA ---> [[199, 140]] 01CC 
[199, 139] 01CB ---> [[199, 140]] 01CC 
[199, 141] 01CD ---> [[199, 142]] 01CE 
[199, 143] 01CF ---> [[199, 144]] 01D0 
[199, 145] 01D1 ---> [[199, 146]] 01D2 
[199, 147] 01D3 ---> [[199, 148]] 01D4 
[199, 149] 01D5 ---> [[199, 150]] 01D6 
[199, 151] 01D7 ---> [[199, 152]] 01D8 
[199, 153] 01D9 ---> [[199, 154]] 01DA 
[199, 155] 01DB ---> [[199, 156]] 01DC 
[199, 158] 01DE ---> [[199, 159]] 01DF 
[199, 160] 01E0 ---> [[199, 161]] 01E1 
[199, 162] 01E2 ---> [[199, 163]] 01E3 
[199, 164] 01E4 ---> [[199, 165]] 01E5 
[199, 166] 01E6 ---> [[199, 167]] 01E7 
[199, 168] 01E8 ---> [[199, 169]] 01E9 
[199, 170] 01EA ---> [[199, 171]] 01EB 
[199, 172] 01EC ---> [[199, 173]] 01ED 
[199, 174] 01EE ---> [[199, 175]] 01EF 
[199, 176] 01F0 ---> [[106], [204, 140]] 006A 030C 
[199, 177] 01F1 ---> [[199, 179]] 01F3 
[199, 178] 01F2 ---> [[199, 179]] 01F3 
[199, 180] 01F4 ---> [[199, 181]] 01F5 
[199, 182] 01F6 ---> [[198, 149]] 0195 
[199, 183] 01F7 ---> [[198, 191]] 01BF 
[199, 184] 01F8 ---> [[199, 185]] 01F9 
[199, 186] 01FA ---> [[199, 187]] 01FB 
[199, 188] 01FC ---> [[199, 189]] 01FD 
[199, 190] 01FE ---> [[199, 191]] 01FF 
[200, 128] 0200 ---> [[200, 129]] 0201 
[200, 130] 0202 ---> [[200, 131]] 0203 
[200, 132] 0204 ---> [[200, 133]] 0205 
[200, 134] 0206 ---> [[200, 135]] 0207 
[200, 136] 0208 ---> [[200, 137]] 0209 
[200, 138] 020A ---> [[200, 139]] 020B 
[200, 140] 020C ---> [[200, 141]] 020D 
[200, 142] 020E ---> [[200, 143]] 020F 
[200, 144] 0210 ---> [[200, 145]] 0211 
[200, 146] 0212 ---> [[200, 147]] 0213 
[200, 148] 0214 ---> [[200, 149]] 0215 
[200, 150] 0216 ---> [[200, 151]] 0217 
[200, 152] 0218 ---> [[200, 153]] 0219 
[200, 154] 021A ---> [[200, 155]] 021B 
[200, 156] 021C ---> [[200, 157]] 021D 
[200, 158] 021E ---> [[200, 159]] 021F 
[200, 160] 0220 ---> [[198, 158]] 019E 
[200, 162] 0222 ---> [[200, 163]] 0223 
[200, 164] 0224 ---> [[200, 165]] 0225 
[200, 166] 0226 ---> [[200, 167]] 0227 
[200, 168] 0228 ---> [[200, 169]] 0229 
[200, 170] 022A ---> [[200, 171]] 022B 
[200, 172] 022C ---> [[200, 173]] 022D 
[200, 174] 022E ---> [[200, 175]] 022F 
[200, 176] 0230 ---> [[200, 177]] 0231 
[200, 178] 0232 ---> [[200, 179]] 0233 
[205, 133] 0345 ---> [[206, 185]] 03B9 
[205, 186] 037A ---> [[32], [206, 185]] 0020 03B9 
[206, 134] 0386 ---> [[206, 172]] 03AC 
[206, 136] 0388 ---> [[206, 173]] 03AD 
[206, 137] 0389 ---> [[206, 174]] 03AE 
[206, 138] 038A ---> [[206, 175]] 03AF 
[206, 140] 038C ---> [[207, 140]] 03CC 
[206, 142] 038E ---> [[207, 141]] 03CD 
[206, 143] 038F ---> [[207, 142]] 03CE 
[206, 144] 0390 ---> [[206, 185], [204, 136], [204, 129]] 03B9 0308 0301 
[206, 145] 0391 ---> [[206, 177]] 03B1 
[206, 146] 0392 ---> [[206, 178]] 03B2 
[206, 147] 0393 ---> [[206, 179]] 03B3 
[206, 148] 0394 ---> [[206, 180]] 03B4 
[206, 149] 0395 ---> [[206, 181]] 03B5 
[206, 150] 0396 ---> [[206, 182]] 03B6 
[206, 151] 0397 ---> [[206, 183]] 03B7 
[206, 152] 0398 ---> [[206, 184]] 03B8 
[206, 153] 0399 ---> [[206, 185]] 03B9 
[206, 154] 039A ---> [[206, 186]] 03BA 
[206, 155] 039B ---> [[206, 187]] 03BB 
[206, 156] 039C ---> [[206, 188]] 03BC 
[206, 157] 039D ---> [[206, 189]] 03BD 
[206, 158] 039E ---> [[206, 190]] 03BE 
[206, 159] 039F ---> [[206, 191]] 03BF 
[206, 160] 03A0 ---> [[207, 128]] 03C0 
[206, 161] 03A1 ---> [[207, 129]] 03C1 
[206, 163] 03A3 ---> [[207, 131]] 03C3 
[206, 164] 03A4 ---> [[207, 132]] 03C4 
[206, 165] 03A5 ---> [[207, 133]] 03C5 
[206, 166] 03A6 ---> [[207, 134]] 03C6 
[206, 167] 03A7 ---> [[207, 135]] 03C7 
[206, 168] 03A8 ---> [[207, 136]] 03C8 
[206, 169] 03A9 ---> [[207, 137]] 03C9 
[206, 170] 03AA ---> [[207, 138]] 03CA 
[206, 171] 03AB ---> [[207, 139]] 03CB 
[206, 176] 03B0 ---> [[207, 133], [204, 136], [204, 129]] 03C5 0308 0301 
[207, 130] 03C2 ---> [[207, 131]] 03C3 
[207, 144] 03D0 ---> [[206, 178]] 03B2 
[207, 145] 03D1 ---> [[206, 184]] 03B8 
[207, 146] 03D2 ---> [[207, 133]] 03C5 
[207, 147] 03D3 ---> [[207, 141]] 03CD 
[207, 148] 03D4 ---> [[207, 139]] 03CB 
[207, 149] 03D5 ---> [[207, 134]] 03C6 
[207, 150] 03D6 ---> [[207, 128]] 03C0 
[207, 152] 03D8 ---> [[207, 153]] 03D9 
[207, 154] 03DA ---> [[207, 155]] 03DB 
[207, 156] 03DC ---> [[207, 157]] 03DD 
[207, 158] 03DE ---> [[207, 159]] 03DF 
[207, 160] 03E0 ---> [[207, 161]] 03E1 
[207, 162] 03E2 ---> [[207, 163]] 03E3 
[207, 164] 03E4 ---> [[207, 165]] 03E5 
[207, 166] 03E6 ---> [[207, 167]] 03E7 
[207, 168] 03E8 ---> [[207, 169]] 03E9 
[207, 170] 03EA ---> [[207, 171]] 03EB 
[207, 172] 03EC ---> [[207, 173]] 03ED 
[207, 174] 03EE ---> [[207, 175]] 03EF 
[207, 176] 03F0 ---> [[206, 186]] 03BA 
[207, 177] 03F1 ---> [[207, 129]] 03C1 
[207, 178] 03F2 ---> [[207, 131]] 03C3 
[207, 180] 03F4 ---> [[206, 184]] 03B8 
[207, 181] 03F5 ---> [[206, 181]] 03B5 
[208, 128] 0400 ---> [[209, 144]] 0450 
[208, 129] 0401 ---> [[209, 145]] 0451 
[208, 130] 0402 ---> [[209, 146]] 0452 
[208, 131] 0403 ---> [[209, 147]] 0453 
[208, 132] 0404 ---> [[209, 148]] 0454 
[208, 133] 0405 ---> [[209, 149]] 0455 
[208, 134] 0406 ---> [[209, 150]] 0456 
[208, 135] 0407 ---> [[209, 151]] 0457 
[208, 136] 0408 ---> [[209, 152]] 0458 
[208, 137] 0409 ---> [[209, 153]] 0459 
[208, 138] 040A ---> [[209, 154]] 045A 
[208, 139] 040B ---> [[209, 155]] 045B 
[208, 140] 040C ---> [[209, 156]] 045C 
[208, 141] 040D ---> [[209, 157]] 045D 
[208, 142] 040E ---> [[209, 158]] 045E 
[208, 143] 040F ---> [[209, 159]] 045F 
[208, 144] 0410 ---> [[208, 176]] 0430 
[208, 145] 0411 ---> [[208, 177]] 0431 
[208, 146] 0412 ---> [[208, 178]] 0432 
[208, 147] 0413 ---> [[208, 179]] 0433 
[208, 148] 0414 ---> [[208, 180]] 0434 
[208, 149] 0415 ---> [[208, 181]] 0435 
[208, 150] 0416 ---> [[208, 182]] 0436 
[208, 151] 0417 ---> [[208, 183]] 0437 
[208, 152] 0418 ---> [[208, 184]] 0438 
[208, 153] 0419 ---> [[208, 185]] 0439 
[208, 154] 041A ---> [[208, 186]] 043A 
[208, 155] 041B ---> [[208, 187]] 043B 
[208, 156] 041C ---> [[208, 188]] 043C 
[208, 157] 041D ---> [[208, 189]] 043D 
[208, 158] 041E ---> [[208, 190]] 043E 
[208, 159] 041F ---> [[208, 191]] 043F 
[208, 160] 0420 ---> [[209, 128]] 0440 
[208, 161] 0421 ---> [[209, 129]] 0441 
[208, 162] 0422 ---> [[209, 130]] 0442 
[208, 163] 0423 ---> [[209, 131]] 0443 
[208, 164] 0424 ---> [[209, 132]] 0444 
[208, 165] 0425 ---> [[209, 133]] 0445 
[208, 166] 0426 ---> [[209, 134]] 0446 
[208, 167] 0427 ---> [[209, 135]] 0447 
[208, 168] 0428 ---> [[209, 136]] 0448 
[208, 169] 0429 ---> [[209, 137]] 0449 
[208, 170] 042A ---> [[209, 138]] 044A 
[208, 171] 042B ---> [[209, 139]] 044B 
[208, 172] 042C ---> [[209, 140]] 044C 
[208, 173] 042D ---> [[209, 141]] 044D 
[208, 174] 042E ---> [[209, 142]] 044E 
[208, 175] 042F ---> [[209, 143]] 044F 
[209, 160] 0460 ---> [[209, 161]] 0461 
[209, 162] 0462 ---> [[209, 163]] 0463 
[209, 164] 0464 ---> [[209, 165]] 0465 
[209, 166] 0466 ---> [[209, 167]] 0467 
[209, 168] 0468 ---> [[209, 169]] 0469 
[209, 170] 046A ---> [[209, 171]] 046B 
[209, 172] 046C ---> [[209, 173]] 046D 
[209, 174] 046E ---> [[209, 175]] 046F 
[209, 176] 0470 ---> [[209, 177]] 0471 
[209, 178] 0472 ---> [[209, 179]] 0473 
[209, 180] 0474 ---> [[209, 181]] 0475 
[209, 182] 0476 ---> [[209, 183]] 0477 
[209, 184] 0478 ---> [[209, 185]] 0479 
[209, 186] 047A ---> [[209, 187]] 047B 
[209, 188] 047C ---> [[209, 189]] 047D 
[209, 190] 047E ---> [[209, 191]] 047F 
[210, 128] 0480 ---> [[210, 129]] 0481 
[210, 138] 048A ---> [[210, 139]] 048B 
[210, 140] 048C ---> [[210, 141]] 048D 
[210, 142] 048E ---> [[210, 143]] 048F 
[210, 144] 0490 ---> [[210, 145]] 0491 
[210, 146] 0492 ---> [[210, 147]] 0493 
[210, 148] 0494 ---> [[210, 149]] 0495 
[210, 150] 0496 ---> [[210, 151]] 0497 
[210, 152] 0498 ---> [[210, 153]] 0499 
[210, 154] 049A ---> [[210, 155]] 049B 
[210, 156] 049C ---> [[210, 157]] 049D 
[210, 158] 049E ---> [[210, 159]] 049F 
[210, 160] 04A0 ---> [[210, 161]] 04A1 
[210, 162] 04A2 ---> [[210, 163]] 04A3 
[210, 164] 04A4 ---> [[210, 165]] 04A5 
[210, 166] 04A6 ---> [[210, 167]] 04A7 
[210, 168] 04A8 ---> [[210, 169]] 04A9 
[210, 170] 04AA ---> [[210, 171]] 04AB 
[210, 172] 04AC ---> [[210, 173]] 04AD 
[210, 174] 04AE ---> [[210, 175]] 04AF 
[210, 176] 04B0 ---> [[210, 177]] 04B1 
[210, 178] 04B2 ---> [[210, 179]] 04B3 
[210, 180] 04B4 ---> [[210, 181]] 04B5 
[210, 182] 04B6 ---> [[210, 183]] 04B7 
[210, 184] 04B8 ---> [[210, 185]] 04B9 
[210, 186] 04BA ---> [[210, 187]] 04BB 
[210, 188] 04BC ---> [[210, 189]] 04BD 
[210, 190] 04BE ---> [[210, 191]] 04BF 
[211, 129] 04C1 ---> [[211, 130]] 04C2 
[211, 131] 04C3 ---> [[211, 132]] 04C4 
[211, 133] 04C5 ---> [[211, 134]] 04C6 
[211, 135] 04C7 ---> [[211, 136]] 04C8 
[211, 137] 04C9 ---> [[211, 138]] 04CA 
[211, 139] 04CB ---> [[211, 140]] 04CC 
[211, 141] 04CD ---> [[211, 142]] 04CE 
[211, 144] 04D0 ---> [[211, 145]] 04D1 
[211, 146] 04D2 ---> [[211, 147]] 04D3 
[211, 148] 04D4 ---> [[211, 149]] 04D5 
[211, 150] 04D6 ---> [[211, 151]] 04D7 
[211, 152] 04D8 ---> [[211, 153]] 04D9 
[211, 154] 04DA ---> [[211, 155]] 04DB 
[211, 156] 04DC ---> [[211, 157]] 04DD 
[211, 158] 04DE ---> [[211, 159]] 04DF 
[211, 160] 04E0 ---> [[211, 161]] 04E1 
[211, 162] 04E2 ---> [[211, 163]] 04E3 
[211, 164] 04E4 ---> [[211, 165]] 04E5 
[211, 166] 04E6 ---> [[211, 167]] 04E7 
[211, 168] 04E8 ---> [[211, 169]] 04E9 
[211, 170] 04EA ---> [[211, 171]] 04EB 
[211, 172] 04EC ---> [[211, 173]] 04ED 
[211, 174] 04EE ---> [[211, 175]] 04EF 
[211, 176] 04F0 ---> [[211, 177]] 04F1 
[211, 178] 04F2 ---> [[211, 179]] 04F3 
[211, 180] 04F4 ---> [[211, 181]] 04F5 
[211, 184] 04F8 ---> [[211, 185]] 04F9 
[212, 128] 0500 ---> [[212, 129]] 0501 
[212, 130] 0502 ---> [[212, 131]] 0503 
[212, 132] 0504 ---> [[212, 133]] 0505 
[212, 134] 0506 ---> [[212, 135]] 0507 
[212, 136] 0508 ---> [[212, 137]] 0509 
[212, 138] 050A ---> [[212, 139]] 050B 
[212, 140] 050C ---> [[212, 141]] 050D 
[212, 142] 050E ---> [[212, 143]] 050F 
[212, 177] 0531 ---> [[213, 161]] 0561 
[212, 178] 0532 ---> [[213, 162]] 0562 
[212, 179] 0533 ---> [[213, 163]] 0563 
[212, 180] 0534 ---> [[213, 164]] 0564 
[212, 181] 0535 ---> [[213, 165]] 0565 
[212, 182] 0536 ---> [[213, 166]] 0566 
[212, 183] 0537 ---> [[213, 167]] 0567 
[212, 184] 0538 ---> [[213, 168]] 0568 
[212, 185] 0539 ---> [[213, 169]] 0569 
[212, 186] 053A ---> [[213, 170]] 056A 
[212, 187] 053B ---> [[213, 171]] 056B 
[212, 188] 053C ---> [[213, 172]] 056C 
[212, 189] 053D ---> [[213, 173]] 056D 
[212, 190] 053E ---> [[213, 174]] 056E 
[212, 191] 053F ---> [[213, 175]] 056F 
[213, 128] 0540 ---> [[213, 176]] 0570 
[213, 129] 0541 ---> [[213, 177]] 0571 
[213, 130] 0542 ---> [[213, 178]] 0572 
[213, 131] 0543 ---> [[213, 179]] 0573 
[213, 132] 0544 ---> [[213, 180]] 0574 
[213, 133] 0545 ---> [[213, 181]] 0575 
[213, 134] 0546 ---> [[213, 182]] 0576 
[213, 135] 0547 ---> [[213, 183]] 0577 
[213, 136] 0548 ---> [[213, 184]] 0578 
[213, 137] 0549 ---> [[213, 185]] 0579 
[213, 138] 054A ---> [[213, 186]] 057A 
[213, 139] 054B ---> [[213, 187]] 057B 
[213, 140] 054C ---> [[213, 188]] 057C 
[213, 141] 054D ---> [[213, 189]] 057D 
[213, 142] 054E ---> [[213, 190]] 057E 
[213, 143] 054F ---> [[213, 191]] 057F 
[213, 144] 0550 ---> [[214, 128]] 0580 
[213, 145] 0551 ---> [[214, 129]] 0581 
[213, 146] 0552 ---> [[214, 130]] 0582 
[213, 147] 0553 ---> [[214, 131]] 0583 
[213, 148] 0554 ---> [[214, 132]] 0584 
[213, 149] 0555 ---> [[214, 133]] 0585 
[213, 150] 0556 ---> [[214, 134]] 0586 
[214, 135] 0587 ---> [[213, 165], [214, 130]] 0565 0582 
